Text,Target
remove file,rm
remove the specified files,rm
remove all files once,rm
remove this text,rm
remove empty file,rm
remove word,rm
remove csv,rm
remove document,rm
remove book,rm
remove notebook,rm
delete file,rm
delete the specified files,rm
delete all files once,rm
delete this text,rm
delete empty file,rm
delete word,rm
delete csv,rm
delete document,rm
delete book,rm
delete notebook,rm
clear away file,rm
clear away the specified files,rm
clear away all files once,rm
clear away this text,rm
clear away empty file,rm
clear away word,rm
clear away csv,rm
clear away document,rm
clear away book,rm
clear away notebook,rm
discard file,rm
discard the specified files,rm
discard all files once,rm
discard this text,rm
discard empty file,rm
discard word,rm
discard csv,rm
discard document,rm
discard book,rm
discard notebook,rm
discharge file,rm
discharge the specified files,rm
discharge all files once,rm
discharge this text,rm
discharge empty file,rm
discharge word,rm
discharge csv,rm
discharge document,rm
discharge book,rm
discharge notebook,rm
dismiss file,rm
dismiss the specified files,rm
dismiss all files once,rm
dismiss this text,rm
dismiss empty file,rm
dismiss word,rm
dismiss csv,rm
dismiss document,rm
dismiss book,rm
dismiss notebook,rm
eliminate file,rm
eliminate the specified files,rm
eliminate all files once,rm
eliminate this text,rm
eliminate empty file,rm
eliminate word,rm
eliminate csv,rm
eliminate document,rm
eliminate book,rm
eliminate notebook,rm
erase file,rm
erase the specified files,rm
erase all files once,rm
erase this text,rm
erase empty file,rm
erase word,rm
erase csv,rm
erase document,rm
erase book,rm
erase notebook,rm
evacuate file,rm
evacuate the specified files,rm
evacuate all files once,rm
evacuate this text,rm
evacuate empty file,rm
evacuate word,rm
evacuate csv,rm
evacuate document,rm
evacuate book,rm
evacuate notebook,rm
expel file,rm
expel the specified files,rm
expel all files once,rm
expel this text,rm
expel empty file,rm
expel word,rm
expel csv,rm
expel document,rm
expel book,rm
expel notebook,rm
extract file,rm
extract the specified files,rm
extract all files once,rm
extract this text,rm
extract empty file,rm
extract word,rm
extract csv,rm
extract document,rm
extract book,rm
extract notebook,rm
get rid of file,rm
get rid of the specified files,rm
get rid of all files once,rm
get rid of this text,rm
get rid of empty file,rm
get rid of word,rm
get rid of csv,rm
get rid of document,rm
get rid of book,rm
get rid of notebook,rm
oust file,rm
oust the specified files,rm
oust all files once,rm
oust this text,rm
oust empty file,rm
oust word,rm
oust csv,rm
oust document,rm
oust book,rm
oust notebook,rm
destroy file,rm
destroy the specified files,rm
destroy all files once,rm
destroy this text,rm
destroy empty file,rm
destroy word,rm
destroy csv,rm
destroy document,rm
destroy book,rm
destroy notebook,rm
clean file,rm
clean the specified files,rm
clean all files once,rm
clean this text,rm
clean empty file,rm
clean word,rm
clean csv,rm
clean document,rm
clean book,rm
clean notebook,rm
drop file,rm
drop the specified files,rm
drop all files once,rm
drop this text,rm
drop empty file,rm
drop word,rm
drop csv,rm
drop document,rm
drop book,rm
drop notebook,rm
i want to remove four text files at once,rm
i want to remove three text files,rm
i want to remove seven text files,rm
i want to remove this file,rm
i need to remove this file,rm
i wish to remove four text files at once,rm
i wish to remove three text files,rm
i wish to remove seven text files,rm
i wish remove this file,rm
i wish to remove this file,rm
i would like to remove this file,rm
please remove this file,rm
excuse me remove this file,rm
can i remove this file please,rm
i want to delete four text files at once,rm
i want to delete three text files,rm
i want to delete seven text files,rm
i want to delete this file,rm
i need to delete this file,rm
i wish to delete four text files at once,rm
i wish to delete three text files,rm
i wish to delete seven text files,rm
i wish delete this file,rm
i wish to delete this file,rm
i would like to delete this file,rm
please delete this file,rm
excuse me delete this file,rm
can i delete this file please,rm
i want to clear away four text files at once,rm
i want to clear away three text files,rm
i want to clear away seven text files,rm
i want to clear away this file,rm
i need to clear away this file,rm
i wish to clear away four text files at once,rm
i wish to clear away three text files,rm
i wish to clear away seven text files,rm
i wish clear away this file,rm
i wish to clear away this file,rm
i would like to clear away this file,rm
please clear away this file,rm
excuse me clear away this file,rm
can i clear away this file please,rm
i want to discard four text files at once,rm
i want to discard three text files,rm
i want to discard seven text files,rm
i want to discard this file,rm
i need to discard this file,rm
i wish to discard four text files at once,rm
i wish to discard three text files,rm
i wish to discard seven text files,rm
i wish discard this file,rm
i wish to discard this file,rm
i would like to discard this file,rm
please discard this file,rm
excuse me discard this file,rm
can i discard this file please,rm
i want to discharge four text files at once,rm
i want to discharge three text files,rm
i want to discharge seven text files,rm
i want to discharge this file,rm
i need to discharge this file,rm
i wish to discharge four text files at once,rm
i wish to discharge three text files,rm
i wish to discharge seven text files,rm
i wish discharge this file,rm
i wish to discharge this file,rm
i would like to discharge this file,rm
please discharge this file,rm
excuse me discharge this file,rm
can i discharge this file please,rm
i want to dismiss four text files at once,rm
i want to dismiss three text files,rm
i want to dismiss seven text files,rm
i want to dismiss this file,rm
i need to dismiss this file,rm
i wish to dismiss four text files at once,rm
i wish to dismiss three text files,rm
i wish to dismiss seven text files,rm
i wish dismiss this file,rm
i wish to dismiss this file,rm
i would like to dismiss this file,rm
please dismiss this file,rm
excuse me dismiss this file,rm
can i dismiss this file please,rm
i want to eliminate four text files at once,rm
i want to eliminate three text files,rm
i want to eliminate seven text files,rm
i want to eliminate this file,rm
i need to eliminate this file,rm
i wish to eliminate four text files at once,rm
i wish to eliminate three text files,rm
i wish to eliminate seven text files,rm
i wish eliminate this file,rm
i wish to eliminate this file,rm
i would like to eliminate this file,rm
please eliminate this file,rm
excuse me eliminate this file,rm
can i eliminate this file please,rm
i want to erase four text files at once,rm
i want to erase three text files,rm
i want to erase seven text files,rm
i want to erase this file,rm
i need to erase this file,rm
i wish to erase four text files at once,rm
i wish to erase three text files,rm
i wish to erase seven text files,rm
i wish erase this file,rm
i wish to erase this file,rm
i would like to erase this file,rm
please erase this file,rm
excuse me erase this file,rm
can i erase this file please,rm
i want to evacuate four text files at once,rm
i want to evacuate three text files,rm
i want to evacuate seven text files,rm
i want to evacuate this file,rm
i need to evacuate this file,rm
i wish to evacuate four text files at once,rm
i wish to evacuate three text files,rm
i wish to evacuate seven text files,rm
i wish evacuate this file,rm
i wish to evacuate this file,rm
i would like to evacuate this file,rm
please evacuate this file,rm
excuse me evacuate this file,rm
can i evacuate this file please,rm
i want to expel four text files at once,rm
i want to expel three text files,rm
i want to expel seven text files,rm
i want to expel this file,rm
i need to expel this file,rm
i wish to expel four text files at once,rm
i wish to expel three text files,rm
i wish to expel seven text files,rm
i wish expel this file,rm
i wish to expel this file,rm
i would like to expel this file,rm
please expel this file,rm
excuse me expel this file,rm
can i expel this file please,rm
i want to extract four text files at once,rm
i want to extract three text files,rm
i want to extract seven text files,rm
i want to extract this file,rm
i need to extract this file,rm
i wish to extract four text files at once,rm
i wish to extract three text files,rm
i wish to extract seven text files,rm
i wish extract this file,rm
i wish to extract this file,rm
i would like to extract this file,rm
please extract this file,rm
excuse me extract this file,rm
can i extract this file please,rm
i want to get rid of four text files at once,rm
i want to get rid of three text files,rm
i want to get rid of seven text files,rm
i want to get rid of this file,rm
i need to get rid of this file,rm
i wish to get rid of four text files at once,rm
i wish to get rid of three text files,rm
i wish to get rid of seven text files,rm
i wish get rid of this file,rm
i wish to get rid of this file,rm
i would like to get rid of this file,rm
please get rid of this file,rm
excuse me get rid of this file,rm
can i get rid of this file please,rm
i want to oust four text files at once,rm
i want to oust three text files,rm
i want to oust seven text files,rm
i want to oust this file,rm
i need to oust this file,rm
i wish to oust four text files at once,rm
i wish to oust three text files,rm
i wish to oust seven text files,rm
i wish oust this file,rm
i wish to oust this file,rm
i would like to oust this file,rm
please oust this file,rm
excuse me oust this file,rm
can i oust this file please,rm
i want to destroy four text files at once,rm
i want to destroy three text files,rm
i want to destroy seven text files,rm
i want to destroy this file,rm
i need to destroy this file,rm
i wish to destroy four text files at once,rm
i wish to destroy three text files,rm
i wish to destroy seven text files,rm
i wish destroy this file,rm
i wish to destroy this file,rm
i would like to destroy this file,rm
please destroy this file,rm
excuse me destroy this file,rm
can i destroy this file please,rm
i want to clean four text files at once,rm
i want to clean three text files,rm
i want to clean seven text files,rm
i want to clean this file,rm
i need to clean this file,rm
i wish to clean four text files at once,rm
i wish to clean three text files,rm
i wish to clean seven text files,rm
i wish clean this file,rm
i wish to clean this file,rm
i would like to clean this file,rm
please clean this file,rm
excuse me clean this file,rm
can i clean this file please,rm
i want to drop four text files at once,rm
i want to drop three text files,rm
i want to drop seven text files,rm
i want to drop this file,rm
i need to drop this file,rm
i wish to drop four text files at once,rm
i wish to drop three text files,rm
i wish to drop seven text files,rm
i wish drop this file,rm
i wish to drop this file,rm
i would like to drop this file,rm
please drop this file,rm
excuse me drop this file,rm
can i drop this file please,rm
remove directory,rm -r
remove folder,rm -r
remove specified directory,rm -r
remove specified folder,rm -r
remove pocket,rm -r
delete directory,rm -r
delete folder,rm -r
delete specified directory,rm -r
delete specified folder,rm -r
delete pocket,rm -r
clear away directory,rm -r
clear away folder,rm -r
clear away specified directory,rm -r
clear away specified folder,rm -r
clear away pocket,rm -r
discard directory,rm -r
discard folder,rm -r
discard specified directory,rm -r
discard specified folder,rm -r
discard pocket,rm -r
discharge directory,rm -r
discharge folder,rm -r
discharge specified directory,rm -r
discharge specified folder,rm -r
discharge pocket,rm -r
dismiss directory,rm -r
dismiss folder,rm -r
dismiss specified directory,rm -r
dismiss specified folder,rm -r
dismiss pocket,rm -r
eliminate directory,rm -r
eliminate folder,rm -r
eliminate specified directory,rm -r
eliminate specified folder,rm -r
eliminate pocket,rm -r
erase directory,rm -r
erase folder,rm -r
erase specified directory,rm -r
erase specified folder,rm -r
erase pocket,rm -r
evacuate directory,rm -r
evacuate folder,rm -r
evacuate specified directory,rm -r
evacuate specified folder,rm -r
evacuate pocket,rm -r
expel directory,rm -r
expel folder,rm -r
expel specified directory,rm -r
expel specified folder,rm -r
expel pocket,rm -r
extract directory,rm -r
extract folder,rm -r
extract specified directory,rm -r
extract specified folder,rm -r
extract pocket,rm -r
get rid of directory,rm -r
